"L2100NaCl_260,00nm_25,0-85,0C",,"L2100NaCl_260,00nm_85,0-25,0C",,"L2150NaCl_260,00nm_25,0-85,0C",,"L2150NaCl_260,00nm_85,0-25,0C",,"L2200NaCl_260,00nm_25,0-85,0C",,"L2200NaCl_260,00nm_85,0-25,0C",,"L3100NaCl_260,00nm_25,0-85,0C",,"L3100NaCl_260,00nm_85,0-25,0C",,"L3150NaCl_260,00nm_25,0-85,0C",,"L3150NaCl_260,00nm_85,0-25,0C",,"L3200NaCl_260,00nm_25,0-85,0C",,"L3200NaCl_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
66,0.66571473475403087,44,0.62079569018872571,66,0.6742458546948723,44,0.652364052542408,66,0.65997201999357,44,0.64849371266139444,66,0.56128564616899934,44,0.52069315073077471,66,0.54392224763091157,44,0.526604519785077,66,0.53031375857110741,44,0.5238739774009129
67,0.68230269948656352,43,0.62015326258485237,67,0.68397875571000788,43,0.6517827530222321,67,0.66676580701625565,43,0.64790009079835142,67,0.57696823609565684,43,0.52018990530750586,67,0.55447531106415981,43,0.52608001605661592,67,0.53485950718151687,43,0.52325769395253852
68,0.70102308956424242,42,0.61958173166050945,68,0.69774682656768694,42,0.65122757483087945,68,0.67640855952323586,42,0.64732650092442168,68,0.59392360117442877,42,0.51968779824230771,68,0.56814370291615712,42,0.52562063998932873,68,0.54139616167049409,42,0.5226809607160231
69,0.71764876983347969,41,0.61903291880806255,69,0.71478647495014169,41,0.65067559094775806,69,0.68967415617426986,41,0.64674336724438275,69,0.60954258469466227,41,0.519174820999667,69,0.58434682746699518,41,0.52518819519412863,69,0.550716243551745,41,0.522169218132018
70,0.73024111562625338,40,0.61841980641558,70,0.7343790487591223,40,0.65004136498578036,70,0.70666005126461207,40,0.64604845523209542,70,0.62116491741226931,40,0.51859698565319778,70,0.60178979052053649,40,0.52470122819216491,70,0.56384588387597756,40,0.52159753000721687
71,0.73794491882092272,39,0.61785715839447541,71,0.75369575764538077,39,0.64944755225464668,71,0.72658956653788409,39,0.64538320164832175,71,0.62821450917043531,39,0.51810298886720962,71,0.61645991637559383,39,0.5242953242774604,71,0.57967437748813533,39,0.521065913919858
72,0.74206339207255878,38,0.6173340254852272,72,0.76873164675870087,38,0.64888008597339775,72,0.74513016354559825,38,0.64474342605023482,72,0.63186342453715627,38,0.51765933292122757,72,0.62626889561336774,38,0.52389041820512594,72,0.59582625898740638,38,0.520559192308059
73,0.74430137874096314,37,0.61677938166573665,73,0.77852139034374612,37,0.64820459955417353,73,0.75995745728631836,37,0.64401349260219476,73,0.63387630971669329,37,0.5171424266288781,73,0.63218888265940509,37,0.52338166768171945,73,0.61130464637261772,37,0.51998041428678032
74,0.74574833097032811,36,0.61628617844656164,74,0.78431225296513,36,0.64759703728181928,74,0.76999508881910927,36,0.64333655856812755,74,0.63516488294553519,36,0.51668030051670533,74,0.63474468150916818,36,0.52295195059939226,74,0.62218673009591441,36,0.51948718735514132
75,0.74683291640310057,35,0.61580040172307093,75,0.78762282011617879,35,0.647005576734291,75,0.77585995894084581,35,0.64267046249921644,75,0.6360588262992577,35,0.51620535185861383,75,0.63592872279854884,35,0.5224928589272666,75,0.62918587035189477,35,0.51898682252803019
76,0.74772944871663294,34,0.61532794859924667,76,0.78959892917102592,34,0.64640451921639708,76,0.779082088221394,34,0.64202035063229224,76,0.63676846027976008,34,0.51575674955247119,76,0.63636687547428228,34,0.52202927201322979,76,0.63315481108668181,34,0.51846315488471351
77,0.74852179283489351,33,0.61489729668560567,77,0.79102206717087475,33,0.64578473669220759,77,0.7809789067309274,33,0.64135699364576482,77,0.63736262884455475,33,0.51527839096783556,77,0.63717445735300693,33,0.52156368127618724,77,0.63549819115259509,33,0.517952422665566
78,0.74936011618280973,32,0.61434610778167409,78,0.79216438998074823,32,0.64508248569244409,78,0.78226682419438975,32,0.64064962097121247,78,0.6380281371192803,32,0.51476726745303092,78,0.63804021798072841,32,0.52102207875916184,78,0.63694345807462638,32,0.51738953598621917
79,0.75014634011963333,31,0.6138405562386835,79,0.79313976028786348,31,0.64443744896067312,79,0.783355572760554,31,0.63993464195653393,79,0.63876789897704889,31,0.51424795908931376,79,0.639048175044535,31,0.5205105507670903,79,0.638039451931883,31,0.51684161899998915
80,0.750939938204306,30,0.61336051290360516,80,0.79411983130737485,30,0.64376743638458478,80,0.78434185411811164,30,0.63926174389281587,80,0.639525304604338,30,0.51377659338050163,80,0.6400942542032797,30,0.52001894521009007,80,0.63898676477585648,30,0.51630766398082684
81,0.75170820762158519,29,0.61287200874233716,81,0.79498240559810385,29,0.64308186288456515,81,0.78525067372391222,29,0.63856039216587979,81,0.64020661590354133,29,0.51328221362398019,81,0.64111014323269566,29,0.51952461757400648,81,0.63981443167968455,29,0.5157928802128261
82,0.75244249531505725,28,0.61235846189698828,82,0.79573918456309267,28,0.6423805916476204,82,0.78618560403380866,28,0.63785162038503651,82,0.64105593163824259,28,0.51277237688516386,82,0.64219278577481642,28,0.51900128302099136,82,0.640664378151614,28,0.515247682801307
83,0.75320380262980846,27,0.611879364832367,83,0.79642784584012571,27,0.64173013413025537,83,0.78712178113171116,27,0.63714154445874693,83,0.64194779985700134,27,0.512251161953257,83,0.64315788674954955,27,0.51848203960266148,83,0.64147006834855025,27,0.51471437553059207
84,0.75410425253982971,26,0.61135773468075194,84,0.79727942328043888,26,0.6409937336506345,84,0.78798028436165057,26,0.63640710903164466,84,0.64262739186680462,26,0.51171942703307671,84,0.64413466891747062,26,0.5179558170044497,84,0.64225023810530024,26,0.51418032125314428
84.699996948242188,0.75471570061211557,25.299999237060547,0.61102192065611471,84.699996948242188,0.79788091811944384,25.299999237060547,0.64052256464742163,84.699996948242188,0.7884869672926178,25.299999237060547,0.635933822790515,84.699996948242188,0.64307130101956977,25.299999237060547,0.51138607271538838,84.699996948242188,0.6449173368851312,25.299999237060547,0.51761869834787866,84.699996948242188,0.64277306626562514,25.299999237060547,0.51383118643645265
