"Y_260,00nm_25,0-85,0C",,"Y_260,00nm_85,0-25,0C",,"L0_260,00nm_25,0-85,0C",,"L0_260,00nm_85,0-25,0C",,"Y+L0_260,00nm_25,0-85,0C",,"Y+L0_260,00nm_85,0-25,0C",,"Y+2L0_260,00nm_25,0-85,0C",,"Y+2L0_260,00nm_85,0-25,0C",,"Y+3L0_260,00nm_25,0-85,0C",,"Y+3L0_260,00nm_85,0-25,0C",,"Y+4L0_260,00nm_25,0-85,0C",,"Y+4L0_260,00nm_85,0-25,0C",,"Y+L0+L2_260,00nm_25,0-85,0C",,"Y+L0+L2_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
58,1.2451708464377362,52,0.60565800122714908,58,0.46342837110099727,52,0.47332227538040911,58,1.6448526641530585,52,0.95857442929228853,58,2.114103894975766,52,1.4339347803416922,58,1.6270844126899027,52,1.8835156087631255,58,2.6374702464143729,52,2.2717811757159856,58,5.0662766137057185,52,4.9209982044337206
59,1.2446884035502779,51,0.58960590543569968,59,0.46674646217172844,51,0.4724113384895835,59,1.6882155883843717,51,0.939308946370306,59,2.1902035367427719,51,1.4104555895054427,59,1.7580882458853695,51,1.8506528018282591,59,2.8492452558478512,51,2.2387867961543422,59,5.0791033439893454,51,4.9274749582850657
60,1.2421626960466903,50,0.57423262553455423,60,0.46965046668346611,50,0.47147943697085654,60,1.7152179347237431,50,0.92151969161572855,60,2.2303211765457127,50,1.3837343427626216,60,1.904311233816071,50,1.82099054827982,60,3.01464385180262,50,2.2061141578275403,60,5.083217631117539,50,4.9310413029338926
61,1.2394153762391555,49,0.55890568578631117,61,0.47232573467626032,49,0.47057630362798319,61,1.7300969889027329,49,0.9026919503579921,61,2.252547969583913,49,1.359220093495755,61,2.0836953095041775,49,1.7963104349131465,61,3.09131060770873,49,2.17922406197045,61,5.1039300170291337,49,4.9309245865948528
62,1.2361397381767489,48,0.54608979906130051,62,0.47491769169325115,48,0.4696955506224143,62,1.7405042150149128,48,0.88315384309538125,62,2.2803426966498104,48,1.3338202651745585,62,2.2883551794933092,48,1.7755290061338052,62,3.132544730117047,48,2.1583535755971544,62,5.1387111062977224,48,4.9292952032366841
63,1.2325075533702354,47,0.53292687374779879,63,0.47801832440901026,47,0.46883854831508226,63,1.7492908833588405,47,0.86501539087259416,63,2.3116179447468919,47,1.3130461079218307,63,2.4803313613815825,47,1.7564689439558383,63,3.1738005625792352,47,2.1416803755247993,63,5.12615744008217,47,4.9294388603199835
64,1.2289694488617995,46,0.52007380373300982,64,0.48199935233895086,46,0.46795145844185176,64,1.7575685250167854,46,0.84674269187186557,64,2.343899765225363,46,1.2936990782590965,64,2.6364502533364682,46,1.7392738272901263,64,3.2173724349412485,46,2.1284505146885033,64,5.1541792927935566,46,4.9219602785291006
65,1.2261245846607309,45,0.50674174201429933,65,0.48771003509142136,45,0.4671472567431334,65,1.7674540146583759,45,0.83235382442196792,65,2.3731180428149767,45,1.27808721588059,65,2.7510139952344828,45,1.7234971705040922,65,3.258546008058322,45,2.1162123004805342,65,5.14380307215568,45,4.9404844029471988
66,1.2235126094278892,44,0.49371392612266984,66,0.49530249758815931,44,0.46622190427368754,66,1.7758407177805602,44,0.82103846671630187,66,2.3969710920698764,44,1.2673898027961505,66,2.83490798913483,44,1.7086883692184345,66,3.29865240313149,44,2.1044947041137627,66,5.1265995158697955,44,4.9295057180470572
67,1.2206687450280194,43,0.48382118444195171,67,0.5046898802014208,43,0.46531962366317003,67,1.7820783789512551,43,0.81222826146807947,67,2.4166684828186384,43,1.2596396643624816,67,2.8960355361570582,43,1.6980304511297433,67,3.3417059260102024,43,2.0931431759050927,67,5.1776119596188206,43,4.9342949271866683
68,1.2181183592029463,42,0.47492016540184934,68,0.51482321020946153,42,0.46423778200767479,68,1.7847088494888745,42,0.80827976747726871,68,2.4285475769799727,42,1.2533111971868307,68,2.9327874233054443,42,1.6921248958155288,68,3.3820359070596426,42,2.080069211933766,68,5.1960140230017,42,4.9211342286631865
69,1.2153151440122556,41,0.47006405816807717,69,0.52501454878260279,41,0.46316044067361084,69,1.7846464449047574,41,0.80515251190757942,69,2.4329076180555691,41,1.2454736381441458,69,2.9504950219440422,41,1.6877191872725654,69,3.4134340179610239,41,2.0679147893009229,69,5.1830610483160511,41,4.9166514941251762
70,1.2119271649472956,40,0.46874098966722566,70,0.53277216590131449,40,0.46199542283501355,70,1.7828821846614338,40,0.80236514168774609,70,2.4328305825902219,40,1.2371714092424968,70,2.9573857458418003,40,1.6825970019232195,70,3.431521194932817,40,2.0600472553443026,70,5.2011856116893807,40,4.9281819737266375
71,1.2085103416935989,39,0.46732187219568416,71,0.537539810829294,39,0.46075876918369152,71,1.7798102570237107,39,0.80006544431556792,71,2.4304270873131961,39,1.2304614802658587,71,2.9586603684546016,39,1.6754351363341715,71,3.4409783770684648,39,2.05166827467177,71,5.1954869332369178,39,4.9424769560487443
72,1.2046265591893823,38,0.46496630879376311,72,0.54033645789620843,38,0.45975083784083848,72,1.776458085677034,38,0.79766744275992763,72,2.4272543005923573,38,1.2215952557332381,72,2.9579940571783694,38,1.6675890106871409,72,3.4459000998969738,38,2.0445284960619121,72,5.177292062728819,38,4.925935441241454
73,1.1997085549853526,37,0.46195863822286959,73,0.54201364598020441,37,0.45858336440752084,73,1.7723234384318542,37,0.793033486108052,73,2.4228292002421514,37,1.2123660286808393,73,2.9565145985331083,37,1.6605034476938838,73,3.4470079524076964,37,2.0386320105112214,73,5.207883773452374,37,4.9029577008458469
74,1.1926959238614392,36,0.45910846462140614,74,0.54308343975607487,36,0.45744406896134832,74,1.768181943600992,36,0.78881687511827447,74,2.4181010910504264,36,1.2061487347707422,74,2.9540335414990793,36,1.651818539109394,74,3.4461371206329283,36,2.0320680669907984,74,5.1953063312517376,36,4.9152769229159237
75,1.1858117810263842,35,0.45679244322109586,75,0.54397699114275955,35,0.4563399380242118,75,1.7638157993634869,35,0.78314706354286656,75,2.4133030735162548,35,1.2011649923645527,75,2.9505697790104892,35,1.6432058501249409,75,3.4449025300540694,35,2.0251346911242281,75,5.2271129202112743,35,4.9004982109515218
76,1.1792277435699314,34,0.45525497004943544,76,0.54482790269248993,34,0.4552257079743206,76,1.7588010054628602,34,0.77901492137371275,76,2.40769627303364,34,1.1959483868686314,76,2.9460125102528845,34,1.6343792914856339,76,3.443070556388927,34,2.0174090362963741,76,5.2092574330095029,34,4.9023109449417088
77,1.1717854252004121,33,0.45260652705170434,77,0.54558587603126463,33,0.453947766461844,77,1.7532277443347961,33,0.77646566241163939,77,2.4022542835047238,33,1.1912530346843591,77,2.9400098583786125,33,1.6288111448603122,77,3.441019355782009,33,2.0094257977480026,77,5.2169416576506169,33,4.8953006640328738
78,1.1634747319758747,32,0.45028665625965708,78,0.54629221586076115,32,0.45277041838298404,78,1.7477501343383712,32,0.77496800241648389,78,2.396654590456361,32,1.1869400794477978,78,2.9346007220464059,32,1.6253873833240222,78,3.4373750065371382,32,2.0016775121120944,78,5.2220666285280286,32,4.8961841882734261
79,1.1537955978010919,31,0.44853435852883106,79,0.54698608032040175,31,0.45168246227214776,79,1.7423034855306088,31,0.774308551696177,79,2.3890760792446959,31,1.182163220480301,79,2.92837885788191,31,1.6203307175057062,79,3.4308017898931245,31,1.9933554241677269,79,5.2516087032135852,31,4.8946719357659356
80,1.1428705940663979,30,0.44657407194524718,80,0.54766514009897771,30,0.45065549228338686,80,1.7350096010541172,30,0.77191586544452129,80,2.3818272857289111,30,1.1751144193185947,80,2.9219154144515844,30,1.617117609502895,80,3.4225579218622046,30,1.9874551076700613,80,5.2131017271508826,30,4.8797438899863534
81,1.128478933508148,29,0.44445127032658238,81,0.54835147127060124,29,0.44965839399028362,81,1.7273042976717912,29,0.77015121431882128,81,2.3735427570609127,29,1.1706062676064999,81,2.9140219061387311,29,1.6125063485907278,81,3.4092347600490731,29,1.9828608764038114,81,5.2385619900048148,29,4.8872715178029873
82,1.111477398742835,28,0.44290119055624344,82,0.54908499875209249,28,0.44861331838066343,82,1.7189143689041353,28,0.76668567158759815,82,2.3638558319738268,28,1.1680276335305704,82,2.9047730085316057,28,1.6051987429655987,82,3.3875796959650732,28,1.976852167526709,82,5.2167427114230289,28,4.8820871055787061
83,1.0900287428956124,27,0.44154937234902308,83,0.5498305273680284,27,0.44773155024051647,83,1.7077829204561721,27,0.7641486095829968,83,2.3516720043308768,27,1.1661978979561289,83,2.8921586557535996,27,1.600061890498828,83,3.356269025661704,27,1.973457861327425,83,5.2087055413437744,27,4.8838094344277643
84,1.0647656322223018,26,0.43947069996372778,84,0.55041217365669826,26,0.44681800265256832,84,1.6950161885400561,26,0.76197030519191811,84,2.3380443148556433,26,1.1671400408753978,84,2.8774268455730678,26,1.5963065623712072,84,3.30997167680446,26,1.96979406661356,84,5.1849486460803345,26,4.8727599915475386
84.699996948242188,1.04411903960426,25.299999237060547,0.4380656960421272,84.699996948242188,0.55083268268991514,25.299999237060547,0.4462849332609688,84.699996948242188,1.6841005465541621,25.299999237060547,0.76264900777132694,84.699996948242188,2.3266617626949317,25.299999237060547,1.1649677435320982,84.699996948242188,2.8657572098310355,25.299999237060547,1.5947078272903,84.699996948242188,3.2680674443823579,25.299999237060547,1.9671149005261279,84.699996948242188,5.1476709945949306,25.299999237060547,4.8635509574733486
